Time,total_volume
11/28/2022,41640.4888613369
11/29/2022,32419.9956183174
11/30/2022,57573.4356412689
12/1/2022,42308.5388801643
12/2/2022,31969.5877953145
12/3/2022,18140.8088239448
12/4/2022,22763.693772895
12/5/2022,43492.5213252479
12/6/2022,33462.0635770187
12/7/2022,29679.0082301452
12/8/2022,31842.2845527253
12/9/2022,27869.652102398
12/10/2022,10644.0511059905
12/11/2022,15164.6979055783
12/12/2022,29807.1752264061
12/13/2022,57445.6126037723
12/14/2022,65040.0696228636
12/15/2022,48032.8420510566
12/16/2022,61413.7901097022
12/17/2022,23474.9216979603
12/18/2022,14622.7458423112
12/19/2022,37040.2475021179
12/20/2022,43877.8626028642
12/21/2022,23269.3006476259
12/22/2022,29105.0706398377
12/23/2022,29223.404607788
12/24/2022,12827.6306839491
12/25/2022,9879.9757245586
12/26/2022,12415.3441556472
12/27/2022,24976.5847330326
12/28/2022,32274.3078807905
12/29/2022,26415.7949369403
12/30/2022,35273.8466907771
12/31/2022,21595.7607854744
1/1/2023,14519.604166665
1/2/2023,18914.4889257933
1/3/2023,25725.4361918689
1/4/2023,34158.1279394464
1/5/2023,20655.7576170266
1/6/2023,32241.2944753996
1/7/2023,8206.35796175046
1/8/2023,13351.8788127971
1/9/2023,42599.8202540308
1/10/2023,32280.5899898102
1/11/2023,37299.4031488308
1/12/2023,84075.8899932447
1/13/2023,71249.526705082
1/14/2023,81935.1246310243
1/15/2023,32361.4570433272
1/16/2023,55271.6652406432
1/17/2023,43525.3394454683
1/18/2023,53344.7691217574
1/19/2023,32165.2726082858
1/20/2023,47087.9730594062
1/21/2023,48409.2749447938
1/22/2023,33832.6298771879
1/23/2023,41922.7221700061
1/24/2023,49328.2615254654
1/25/2023,53757.3185615088
1/26/2023,39295.0896540633
1/27/2023,37268.8037054577
1/28/2023,11659.8956828596
1/29/2023,32234.2711524274
1/30/2023,46397.6909926454
1/31/2023,31198.1699023724
2/1/2023,31668.4178448509
2/2/2023,30343.5741246075
2/3/2023,23227.8105647114
2/4/2023,7629.65180614921
2/5/2023,13411.7365096425
2/6/2023,20417.3882454774
2/7/2023,18391.8433641139
2/8/2023,14394.0296479672
2/9/2023,32339.2024976713
2/10/2023,20723.3938376993
2/11/2023,8394.10292165297
2/12/2023,11395.8119980845
